0.000000;0.000000;0.000000
0.039062;0.039062;0.000000
0.078125;0.078125;0.000000
0.117188;0.117188;0.000000
0.156250;0.156250;0.000000
0.195312;0.195312;0.000000
0.234375;0.234375;0.000000
0.273438;0.273438;0.000000
0.312500;0.312500;0.000000
0.351562;0.351562;0.000000
0.390625;0.390625;0.000000
0.429688;0.429688;0.000000
0.468750;0.468750;0.000000
0.507812;0.507812;0.000000
0.546875;0.546875;0.000000
0.585938;0.576172;0.000010
0.625000;0.600586;0.000024
0.664062;0.620117;0.000039
0.703125;0.634766;0.000063
0.742188;0.649414;0.000093
0.781250;0.659180;0.000122
0.820312;0.668945;0.000151
0.859375;0.673828;0.000181
0.898438;0.678711;0.000215
0.937500;0.688477;0.000249
0.976562;0.688477;0.000283
1.015625;0.698242;0.000322
1.054688;0.698242;0.000352
1.093750;0.703125;0.000391
1.132812;0.708008;0.000425
1.171875;0.708008;0.000464
1.210938;0.712891;0.000498
1.250000;0.712891;0.000537
1.289062;0.717773;0.000571
1.328125;0.717773;0.000610
1.367188;0.722656;0.000645
1.406250;0.722656;0.000684
1.445312;0.722656;0.000723
1.484375;0.727539;0.000757
1.523438;0.727539;0.000796
1.562500;0.727539;0.000835
1.601562;0.727539;0.000874
1.640625;0.732422;0.000908
1.679688;0.732422;0.000947
1.718750;0.732422;0.000986
1.757812;0.732422;0.001025
1.796875;0.732422;0.001060
1.835938;0.737305;0.001099
1.875000;0.737305;0.001138
1.914062;0.737305;0.001177
1.953125;0.737305;0.001216
1.992188;0.742188;0.001255
2.031250;0.737305;0.001294
2.070312;0.742188;0.001328
2.109375;0.742188;0.001367
2.148438;0.742188;0.001406
2.187500;0.742188;0.001445
2.226562;0.742188;0.001484
2.265625;0.742188;0.001523
2.304688;0.747070;0.001558
2.343750;0.747070;0.001597
2.382812;0.747070;0.001636
2.421875;0.747070;0.001675
2.460938;0.751953;0.001714
2.500000;0.747070;0.001748
2.539062;0.747070;0.001787
2.578125;0.751953;0.001826
2.617188;0.751953;0.001865
2.656250;0.751953;0.001904
2.695312;0.751953;0.001943
2.734375;0.751953;0.001982
2.773438;0.756836;0.002021
2.812500;0.751953;0.002061
2.851562;0.756836;0.002095
2.890625;0.751953;0.002134
2.929688;0.756836;0.002173
2.968750;0.756836;0.002212
3.007812;0.756836;0.002251
3.046875;0.756836;0.002290
3.085938;0.756836;0.002329
3.125000;0.756836;0.002363
3.164062;0.756836;0.002402
3.203125;0.756836;0.002446
3.242188;0.756836;0.002485
3.281250;0.761719;0.002524
3.320312;0.761719;0.002559
3.359375;0.761719;0.002603
3.398438;0.756836;0.002637
3.437500;0.761719;0.002676
3.476562;0.761719;0.002715
3.515625;0.761719;0.002754
3.554688;0.761719;0.002793
3.593750;0.761719;0.002832
3.632812;0.761719;0.002871
3.671875;0.761719;0.002910
3.710938;0.761719;0.002949
3.750000;0.761719;0.002988
3.789062;0.761719;0.003027
3.828125;0.761719;0.003066
3.867188;0.761719;0.003105
3.906250;0.761719;0.003145
3.945312;0.761719;0.003184
3.984375;0.761719;0.003218
4.023438;0.761719;0.003262
4.062500;0.766602;0.003296
4.101562;0.761719;0.003335
4.140625;0.766602;0.003374
4.179688;0.766602;0.003418
4.218750;0.766602;0.003452
4.257812;0.766602;0.003491
4.296875;0.766602;0.003530
4.335938;0.766602;0.003569
4.375000;0.766602;0.003608
4.414062;0.766602;0.003647
4.453125;0.766602;0.003687
4.492188;0.766602;0.003726
4.531250;0.766602;0.003765
4.570312;0.766602;0.003804
4.609375;0.766602;0.003843
4.648438;0.766602;0.003882
4.687500;0.766602;0.003921
4.726562;0.766602;0.003960
4.765625;0.766602;0.003999
4.804688;0.766602;0.004038
4.843750;0.766602;0.004077
4.882812;0.771484;0.004111
4.921875;0.766602;0.004150
4.960938;0.766602;0.004189
5.000000;0.776367;0.004224
