1;87
2;87
3;87
4;87
5;87
6;87
7;87
8;87
9;87
10;87
15;87
20;87
25;87
30;87
35;87
40;87
45;87
50;87
55;87
60;86
65;87
70;86
75;86
80;86
85;87
90;87
95;86
100;87
150;87
200;87
250;86
300;87
350;87
400;87
450;87
500;87
550;87
600;87
650;87
700;87
750;86
800;87
850;86
900;87
950;87
1000;87
1500;87
2000;87
2500;87
3000;87
3500;87
4000;87
4500;86
5000;87
5500;86
6000;86
6500;86
7000;86
7500;85
8000;86
8500;85
9000;86
9500;84
10000;86
15000;71
20000;77
25000;66
30000;68
35000;64
40000;60
45000;53
50000;52
55000;43
60000;50
65000;47
70000;47
75000;41
80000;44
85000;41
90000;41
95000;37
100000;36
150000;26
200000;16
250000;7
300000;0
350000;0
400000;0
450000;0
500000;0
550000;0
600000;0
650000;0
700000;0
750000;0
800000;0
850000;0
900000;0
950000;0
